hotel_name,review_id,attribute,star_value
,,,
"The Envoy Hotel, Autograph Collection",review_431773417,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_431773417,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_431773417,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_431303859,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_431303859,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_431303859,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_431191392,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_431191392,Rooms,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_431191392,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_430616015,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_430616015,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_430616015,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429878876,Value,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429878876,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429878876,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429872437,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429872437,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429872437,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429695830,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429695830,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429695830,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429629114,Rooms,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429629114,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_429629114,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_428265271,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_428265271,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_428265271,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_428188650,Location,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_428188650,Rooms,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_428188650,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_427000287,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_427000287,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_427000287,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_426968936,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_426968936,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_426968936,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_426506649,Value,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_426506649,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_426506649,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_426328308,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_426328308,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_426328308,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425989029,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425989029,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425989029,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425933494,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425933494,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425933494,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425713295,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425713295,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425713295,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425067581,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425067581,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_425067581,Service,5 of 5 bubbles
,,,
