hotel_name,review_id,attribute,star_value
"Marriott Vacation Club Pulse at Custom House, Boston",review_433426851,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_433426851,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_433426851,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_433022432,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_433022432,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_433022432,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_431564898,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_431564898,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_431564898,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_428185627,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_428185627,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_428185627,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_427012974,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_427012974,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_427012974,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_424529745,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_424529745,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_424529745,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_424191708,Value,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_424191708,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_424191708,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_422924236,Location,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_422924236,Rooms,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_422924236,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_420650797,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_420650797,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_420650797,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_419521168,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_419521168,Sleep Quality,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_419521168,Service,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_417792029,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_417792029,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_417792029,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_416269245,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_416269245,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_416269245,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_416134759,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_416134759,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_416134759,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_414584980,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_414584980,Rooms,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_414584980,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_408108400,Value,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_408108400,Location,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_408108400,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_407569749,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_407569749,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_407569749,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_403712783,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_403712783,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_403712783,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_402192613,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_402192613,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_402192613,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_398285564,Value,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_398285564,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_398285564,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_395880546,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_395880546,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_395880546,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_394752575,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_394752575,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_394752575,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_392351460,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_392351460,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_392351460,Service,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_390251824,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_390251824,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_390251824,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_389816897,Rooms,5 of 5 bubbles
