,Race,Gender,Year,JobType
30150,Minority,Men,2015,Semi-Skilled
13838,Minority,Men,2007,Unskilled
55765,White,Men,2007,Semi-Skilled
10699,White,Men,2015,Skilled
17250,Minority,Men,2015,Unskilled
17710,Minority,Men,2015,Unskilled
73613,White,Men,2007,Unskilled
15626,White,Men,2007,Skilled
301,White,Men,2007,Skilled
84135,White,Women,2015,Unskilled
61758,White,Men,2015,Semi-Skilled
34201,White,Men,2007,Unskilled
11510,Minority,Women,2015,Unskilled
27229,White,Women,2007,Unskilled
51752,White,Women,2007,Unskilled
7872,White,Women,2007,Skilled
67292,White,Men,2007,Unskilled
77746,White,Women,2007,Unskilled
75615,White,Women,2007,Unskilled
78172,White,Women,2007,Unskilled
62898,White,Men,2015,Semi-Skilled
49185,Minority,Women,2015,Unskilled
43677,White,Women,2015,Unskilled
21736,Minority,Men,2007,Unskilled
34113,Minority,Men,2007,Unskilled
52274,Minority,Women,2015,Unskilled
70671,White,Men,2015,Unskilled
9579,Minority,Women,2007,Unskilled
31550,Minority,Women,2015,Semi-Skilled
47126,White,Women,2015,Unskilled
46960,Minority,Men,2015,Unskilled
48616,Minority,Women,2015,Unskilled
6039,Minority,Women,2015,Skilled
76799,White,Women,2007,Unskilled
41227,Minority,Men,2007,Unskilled
70373,White,Men,2015,Unskilled
52278,Minority,Women,2015,Unskilled
42905,Minority,Women,2007,Unskilled
41893,White,Men,2015,Unskilled
26737,Minority,Men,2007,Semi-Skilled
44559,Minority,Women,2007,Unskilled
67536,White,Men,2007,Unskilled
61389,White,Men,2015,Semi-Skilled
3777,White,Men,2007,Skilled
39711,Minority,Men,2007,Unskilled
37722,White,Women,2007,Unskilled
60033,White,Women,2007,Semi-Skilled
64873,White,Men,2015,Semi-Skilled
46365,Minority,Men,2015,Unskilled
39187,Minority,Women,2015,Unskilled
51412,Minority,Women,2015,Unskilled
30891,Minority,Women,2015,Semi-Skilled
44935,White,Women,2015,Unskilled
35975,Minority,Men,2015,Unskilled
33093,Minority,Men,2007,Unskilled
3424,White,Men,2007,Skilled
77770,White,Women,2007,Unskilled
26863,White,Women,2007,Unskilled
8553,Minority,Women,2007,Unskilled
34971,Minority,Women,2007,Unskilled
13231,White,Women,2015,Skilled
81885,White,Women,2015,Unskilled
28261,White,Men,2015,Unskilled
39601,Minority,Men,2007,Unskilled
56149,White,Men,2007,Semi-Skilled
34211,White,Men,2007,Unskilled
22,White,Men,2007,Skilled
60480,White,Women,2007,Semi-Skilled
37893,Minority,Men,2015,Unskilled
13291,White,Women,2015,Skilled
25388,White,Women,2007,Unskilled
39867,Minority,Men,2007,Unskilled
71562,White,Women,2015,Unskilled
46017,Minority,Men,2015,Unskilled
14761,White,Men,2007,Skilled
10673,Minority,Men,2015,Unskilled
11175,Minority,Women,2015,Unskilled
28010,Minority,Women,2007,Semi-Skilled
38769,Minority,Women,2015,Unskilled
51071,White,Men,2007,Unskilled
44415,White,Women,2015,Unskilled
37939,White,Women,2007,Unskilled
40145,Minority,Men,2007,Unskilled
58388,White,Men,2007,Semi-Skilled
33754,White,Women,2015,Unskilled
3932,Minority,Men,2007,Skilled
23488,Minority,Men,2015,Unskilled
31039,White,Women,2015,Unskilled
5474,Minority,Men,2015,Skilled
21970,White,Men,2007,Unskilled
1078,White,Women,2007,Skilled
32426,Minority,Men,2007,Unskilled
281,White,Men,2007,Skilled
23762,Minority,Men,2015,Unskilled
48484,Minority,Men,2015,Unskilled
32539,White,Women,2015,Unskilled
43732,Minority,Women,2007,Unskilled
17276,White,Women,2007,Skilled
15559,Minority,Women,2007,Unskilled
47757,White,Women,2015,Unskilled
7777,White,Women,2007,Skilled
69274,White,Women,2007,Unskilled
42516,Minority,Women,2007,Unskilled
36690,White,Women,2007,Unskilled
17910,White,Women,2007,Skilled
14498,White,Women,2015,Skilled
7497,White,Women,2007,Skilled
964,White,Women,2007,Skilled
51000,Minority,Women,2015,Unskilled
684,White,Men,2007,Skilled
78544,White,Men,2015,Unskilled
11421,Minority,Women,2015,Unskilled
3401,White,Men,2007,Skilled
57103,White,Men,2007,Semi-Skilled
8504,White,Men,2015,Skilled
51442,White,Men,2007,Unskilled
75335,White,Women,2007,Unskilled
13683,Minority,Men,2007,Unskilled
33806,Minority,Men,2007,Unskilled
38766,White,Women,2007,Unskilled
47336,Minority,Men,2015,Unskilled
42775,Minority,Women,2007,Unskilled
8340,White,Women,2007,Skilled
8655,Minority,Women,2007,Unskilled
4753,Minority,Women,2007,Skilled
50122,Minority,Women,2015,Unskilled
49617,White,Men,2007,Unskilled
22739,Minority,Women,2007,Unskilled
1703,Minority,Women,2007,Skilled
10317,Minority,Men,2015,Unskilled
79010,White,Men,2015,Unskilled
18400,White,Men,2015,Skilled
9225,Minority,Women,2007,Unskilled
5355,Minority,Men,2015,Skilled
8032,Minority,Women,2007,Unskilled
24175,Minority,Women,2015,Unskilled
67697,White,Men,2007,Unskilled
30014,White,Men,2015,Unskilled
48735,White,Men,2007,Unskilled
45461,White,Women,2015,Unskilled
43318,White,Women,2015,Unskilled
68518,White,Women,2007,Unskilled
59010,White,Men,2007,Semi-Skilled
65329,White,Women,2015,Semi-Skilled
37007,White,Women,2007,Unskilled
5032,White,Men,2007,Skilled
37059,Minority,Men,2015,Unskilled
62236,White,Men,2015,Semi-Skilled
27599,Minority,Women,2007,Semi-Skilled
47459,White,Women,2015,Unskilled
57500,White,Men,2007,Semi-Skilled
60669,White,Women,2007,Semi-Skilled
57367,White,Men,2007,Semi-Skilled
47837,White,Women,2015,Unskilled
714,Minority,Men,2007,Skilled
39439,White,Women,2007,Unskilled
53106,White,Men,2015,Unskilled
8072,White,Women,2007,Skilled
3951,White,Men,2007,Skilled
69263,White,Women,2007,Unskilled
47000,Minority,Men,2015,Unskilled
50890,Minority,Women,2015,Unskilled
42650,White,Men,2015,Unskilled
45576,White,Women,2015,Unskilled
21768,White,Men,2007,Unskilled
