,Race,Gender,Year,JobType
41519,Minority,Men,2007,Unskilled
54085,White,Men,2015,Unskilled
25059,Minority,Men,2007,Semi-Skilled
11908,Minority,Women,2015,Semi-Skilled
10850,White,Men,2015,Skilled
63088,White,Men,2015,Semi-Skilled
4990,White,Men,2007,Skilled
21374,Minority,Men,2007,Unskilled
39999,Minority,Men,2007,Unskilled
76321,White,Women,2007,Unskilled
21411,Minority,Men,2007,Unskilled
5872,Minority,Women,2015,Skilled
49823,White,Men,2007,Unskilled
54832,White,Men,2015,Unskilled
43023,Minority,Women,2007,Unskilled
14592,White,Women,2015,Skilled
53878,White,Men,2015,Unskilled
36578,White,Women,2007,Semi-Skilled
12887,Minority,Women,2015,Semi-Skilled
7681,White,Women,2007,Skilled
81908,White,Women,2015,Unskilled
76403,White,Women,2007,Unskilled
11544,White,Men,2015,Skilled
1999,White,Men,2015,Skilled
13368,White,Women,2015,Skilled
47305,White,Women,2015,Semi-Skilled
55531,White,Men,2007,Semi-Skilled
63344,White,Men,2015,Semi-Skilled
24198,White,Men,2007,Semi-Skilled
893,White,Men,2007,Skilled
70519,White,Men,2015,Unskilled
903,White,Men,2007,Skilled
42931,White,Women,2015,Semi-Skilled
33955,White,Men,2007,Semi-Skilled
14535,Minority,Women,2007,Semi-Skilled
41583,Minority,Men,2007,Unskilled
28655,White,Men,2015,Semi-Skilled
34649,White,Men,2007,Semi-Skilled
16972,White,Women,2007,Skilled
65793,White,Women,2015,Semi-Skilled
39807,Minority,Men,2007,Unskilled
36195,White,Women,2007,Semi-Skilled
32869,White,Women,2015,Semi-Skilled
45877,Minority,Men,2015,Unskilled
32528,White,Women,2015,Semi-Skilled
52593,Minority,Women,2015,Unskilled
6274,Minority,Women,2015,Skilled
47079,Minority,Men,2015,Unskilled
6952,White,Women,2007,Skilled
48753,White,Men,2007,Unskilled
49700,White,Men,2007,Unskilled
56096,White,Men,2007,Semi-Skilled
12078,Minority,Women,2015,Semi-Skilled
27199,White,Women,2007,Semi-Skilled
21215,Minority,Men,2007,Unskilled
27577,White,Women,2007,Semi-Skilled
67567,White,Men,2007,Unskilled
7567,White,Women,2007,Skilled
7147,Minority,Men,2007,Semi-Skilled
64694,White,Men,2015,Semi-Skilled
1029,Minority,Men,2007,Skilled
76262,White,Women,2007,Unskilled
64920,White,Men,2015,Semi-Skilled
17685,Minority,Men,2015,Semi-Skilled
62485,White,Men,2015,Semi-Skilled
17305,Minority,Men,2015,Semi-Skilled
22120,Minority,Men,2007,Unskilled
38175,White,Women,2007,Semi-Skilled
52526,White,Men,2015,Unskilled
42478,White,Men,2015,Semi-Skilled
44302,White,Women,2015,Semi-Skilled
37505,White,Women,2007,Semi-Skilled
1366,White,Men,2015,Skilled
8608,Minority,Women,2007,Semi-Skilled
16968,White,Women,2007,Skilled
24214,Minority,Women,2015,Unskilled
790,White,Men,2007,Skilled
521,White,Men,2007,Skilled
64330,White,Men,2015,Semi-Skilled
31405,White,Women,2015,Semi-Skilled
18053,White,Women,2007,Skilled
16534,Minority,Women,2007,Semi-Skilled
3194,Minority,Women,2015,Skilled
70331,White,Men,2015,Unskilled
29783,Minority,Men,2015,Semi-Skilled
19265,White,Men,2015,Skilled
51851,White,Women,2007,Unskilled
76872,White,Women,2007,Unskilled
38792,Minority,Women,2015,Unskilled
37690,White,Women,2007,Semi-Skilled
53748,White,Men,2015,Unskilled
5964,White,Men,2007,Skilled
36122,White,Women,2007,Semi-Skilled
21026,Minority,Women,2015,Semi-Skilled
9579,White,Men,2015,Skilled
42336,Minority,Women,2007,Unskilled
76520,White,Women,2007,Unskilled
58738,White,Men,2007,Semi-Skilled
45653,Minority,Men,2015,Unskilled
79466,White,Men,2015,Unskilled
31420,Minority,Women,2015,Semi-Skilled
30449,Minority,Men,2015,Semi-Skilled
24081,Minority,Men,2015,Unskilled
40924,Minority,Men,2007,Unskilled
14955,Minority,Women,2007,Semi-Skilled
55729,White,Men,2007,Semi-Skilled
10369,Minority,Men,2015,Semi-Skilled
20874,Minority,Women,2015,Semi-Skilled
11613,Minority,Women,2015,Semi-Skilled
38201,Minority,Men,2015,Unskilled
3344,White,Men,2007,Skilled
53227,White,Men,2015,Unskilled
24999,White,Women,2007,Semi-Skilled
30307,White,Men,2015,Semi-Skilled
68002,White,Men,2007,Unskilled
41264,White,Men,2015,Semi-Skilled
54603,White,Men,2015,Unskilled
45219,Minority,Women,2007,Unskilled
40756,Minority,Men,2007,Unskilled
48427,White,Men,2007,Unskilled
40138,White,Women,2007,Semi-Skilled
43478,Minority,Women,2007,Unskilled
53686,White,Men,2015,Unskilled
2470,Minority,Men,2015,Skilled
38156,Minority,Men,2015,Unskilled
28837,Minority,Men,2015,Semi-Skilled
24762,White,Women,2007,Semi-Skilled
55798,White,Men,2007,Semi-Skilled
70720,White,Men,2015,Unskilled
64022,White,Men,2015,Semi-Skilled
82347,White,Women,2015,Unskilled
44289,White,Women,2015,Semi-Skilled
64172,White,Men,2015,Semi-Skilled
13647,Minority,Men,2007,Semi-Skilled
39237,White,Women,2007,Semi-Skilled
