hotel_name,rating,count
"Marriott Vacation Club Pulse at Custom House, Boston",Excellent,508
"Marriott Vacation Club Pulse at Custom House, Boston",Very good,175
"Marriott Vacation Club Pulse at Custom House, Boston",Average,13
"Marriott Vacation Club Pulse at Custom House, Boston",Poor,13
"Marriott Vacation Club Pulse at Custom House, Boston",Terrible,12
Boston Harbor Hotel,Excellent,"1,279"
Boston Harbor Hotel,Very good,229
Boston Harbor Hotel,Average,55
Boston Harbor Hotel,Poor,20
Boston Harbor Hotel,Terrible,16
Seaport Boston Hotel,Excellent,"3,082"
Seaport Boston Hotel,Very good,733
Seaport Boston Hotel,Average,130
Seaport Boston Hotel,Poor,50
Seaport Boston Hotel,Terrible,37
Four Seasons Hotel Boston,Excellent,"1,133"
Four Seasons Hotel Boston,Very good,197
Four Seasons Hotel Boston,Average,53
Four Seasons Hotel Boston,Poor,27
Four Seasons Hotel Boston,Terrible,16
Lenox Hotel,Excellent,"2,184"
Lenox Hotel,Very good,551
Lenox Hotel,Average,120
Lenox Hotel,Poor,45
Lenox Hotel,Terrible,20
Courtyard Boston Copley Square,Excellent,"1,057"
Courtyard Boston Copley Square,Very good,375
Courtyard Boston Copley Square,Average,62
Courtyard Boston Copley Square,Poor,16
Courtyard Boston Copley Square,Terrible,15
InterContinental Boston,Excellent,"2,117"
InterContinental Boston,Very good,708
InterContinental Boston,Average,173
InterContinental Boston,Poor,69
InterContinental Boston,Terrible,61
Hotel Commonwealth,Excellent,"3,110"
Hotel Commonwealth,Very good,574
Hotel Commonwealth,Average,127
Hotel Commonwealth,Poor,50
Hotel Commonwealth,Terrible,22
"Mandarin Oriental, Boston",Excellent,435
"Mandarin Oriental, Boston",Very good,82
"Mandarin Oriental, Boston",Average,34
"Mandarin Oriental, Boston",Poor,9
"Mandarin Oriental, Boston",Terrible,8
Residence Inn Boston Back Bay/Fenway,Excellent,887
Residence Inn Boston Back Bay/Fenway,Very good,288
Residence Inn Boston Back Bay/Fenway,Average,54
Residence Inn Boston Back Bay/Fenway,Poor,15
Residence Inn Boston Back Bay/Fenway,Terrible,7
Eliot Hotel,Excellent,671
Eliot Hotel,Very good,251
Eliot Hotel,Average,71
Eliot Hotel,Poor,36
Eliot Hotel,Terrible,24
Residence Inn Boston Downtown/Seaport,Excellent,279
Residence Inn Boston Downtown/Seaport,Very good,99
Residence Inn Boston Downtown/Seaport,Average,13
Residence Inn Boston Downtown/Seaport,Poor,9
Residence Inn Boston Downtown/Seaport,Terrible,3
XV Beacon,Excellent,759
XV Beacon,Very good,169
XV Beacon,Average,37
XV Beacon,Poor,30
XV Beacon,Terrible,14
Kimpton Nine Zero Hotel,Excellent,"1,492"
Kimpton Nine Zero Hotel,Very good,586
Kimpton Nine Zero Hotel,Average,126
Kimpton Nine Zero Hotel,Poor,32
Kimpton Nine Zero Hotel,Terrible,26
Hilton Garden Inn Boston Logan Airport,Excellent,472
Hilton Garden Inn Boston Logan Airport,Very good,121
Hilton Garden Inn Boston Logan Airport,Average,23
Hilton Garden Inn Boston Logan Airport,Poor,8
Hilton Garden Inn Boston Logan Airport,Terrible,2
The Verb Hotel,Excellent,919
The Verb Hotel,Very good,318
The Verb Hotel,Average,74
The Verb Hotel,Poor,20
The Verb Hotel,Terrible,14
The Godfrey Hotel Boston,Excellent,967
The Godfrey Hotel Boston,Very good,315
The Godfrey Hotel Boston,Average,90
The Godfrey Hotel Boston,Poor,34
The Godfrey Hotel Boston,Terrible,12
"The Langham, Boston",Excellent,"1,130"
"The Langham, Boston",Very good,490
"The Langham, Boston",Average,142
"The Langham, Boston",Poor,50
"The Langham, Boston",Terrible,34
Loews Boston Hotel,Excellent,781
Loews Boston Hotel,Very good,347
Loews Boston Hotel,Average,86
Loews Boston Hotel,Poor,21
Loews Boston Hotel,Terrible,8
The Boxer Boston,Excellent,497
The Boxer Boston,Very good,237
The Boxer Boston,Average,63
The Boxer Boston,Poor,16
The Boxer Boston,Terrible,10
enVision Hotel Boston - Longwood,Excellent,358
enVision Hotel Boston - Longwood,Very good,138
enVision Hotel Boston - Longwood,Average,33
enVision Hotel Boston - Longwood,Poor,9
enVision Hotel Boston - Longwood,Terrible,2
Colonnade Hotel,Excellent,"1,738"
Colonnade Hotel,Very good,642
Colonnade Hotel,Average,196
Colonnade Hotel,Poor,74
Colonnade Hotel,Terrible,54
Residence Inn Boston Harbor on Tudor Wharf,Excellent,422
Residence Inn Boston Harbor on Tudor Wharf,Very good,256
Residence Inn Boston Harbor on Tudor Wharf,Average,60
Residence Inn Boston Harbor on Tudor Wharf,Poor,17
Residence Inn Boston Harbor on Tudor Wharf,Terrible,6
"Fairmont Copley Plaza, Boston",Excellent,"1,477"
"Fairmont Copley Plaza, Boston",Very good,582
"Fairmont Copley Plaza, Boston",Average,221
"Fairmont Copley Plaza, Boston",Poor,96
"Fairmont Copley Plaza, Boston",Terrible,43
Copley Square Hotel,Excellent,765
Copley Square Hotel,Very good,475
Copley Square Hotel,Average,131
Copley Square Hotel,Poor,38
Copley Square Hotel,Terrible,21
W Boston,Excellent,760
W Boston,Very good,357
W Boston,Average,148
